公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
德必,2021-02-10,IPO上市,6.9亿,人民币,,
罗科仕,2024-03-05,IPO上市,600万,美元,,
辰安科技,2020-03-15,IPO上市后,数亿,人民币,,中国电信
东华软件,2020-01-10,IPO上市后,14.4亿,人民币,,腾讯投资
顶点软件,2017-05-22,IPO上市,4.01亿,人民币,,
安妮股份,2008-05-16,IPO上市,2.73亿,人民币,,
先进数通,2016-09-13,IPO上市,3.32亿,人民币,,
万国数据,2022-02-22,IPO上市后,6.2亿,美元,,"红杉中国,ST Telemedia Global Data Centres,某亚洲主权财富基金"
前程无忧,2006-01-22,IPO上市后,1.09亿,美元,,Recruit Holdings
三五互联科技,2010-02-11,IPO上市,4.59亿,人民币,,
任子行,2012-04-25,IPO上市,数亿,人民币,,
派诺科技,2023-12-14,IPO上市,1.15亿,人民币,,
用友,2022-01-25,IPO上市后,52.98亿,人民币,,"高瓴投资,易方达基金,葛卫东,高毅资产"
恒拓开源,2020-07-27,IPO上市,未透露,人民币,,
凌雄科技,2022-11-24,IPO上市,3.37亿,港元,,
天润融通,2022-06-30,IPO上市,2.56亿,港元,,
初灵信息,2011-08-03,IPO上市,2.5亿,人民币,,
南京云创存储,2021-08-26,IPO上市,3.48亿,人民币,,
中望软件,2021-03-11,IPO上市,6.01亿,人民币,,
